,City,Clouds,Humidity,Lat,Lng,Max Temp,Wind
0,Saint-Pierre,0,82,48.95,4.24,62.6,5.82
1,Mataura,36,93,-46.19,168.86,48.22,4.5
2,Necochea,0,69,-38.55,-58.74,42.01,11.77
3,Vao,0,65,59.1,26.19,53.44,10.65
4,Malanje,0,94,-9.54,16.35,61.54,4.38
5,Isangel,36,100,-19.55,169.27,72.88,13.67
6,Hithadhoo,100,100,-0.6,73.08,79.9,5.95
7,Olinda,0,73,-2.03,-79.75,73.4,14.99
8,Punta Arenas,75,75,-53.16,-70.91,41.0,2.24
9,Vaini,92,98,15.34,74.49,70.0,7.63
10,Rikitea,0,100,-23.12,-134.97,70.81,13.56
11,Kimbe,88,100,-5.56,150.15,78.73,3.27
12,Abu Dhabi,0,75,24.47,54.37,91.4,4.7
13,Bredasdorp,44,100,-34.53,20.04,51.1,12.21
14,Vikindu,20,94,-6.98,39.3,69.8,2.71
15,Hermanus,12,95,-34.42,19.24,32.38,3.38
16,San Andres,12,93,13.32,122.68,84.49,21.83
17,Ushuaia,75,86,-54.81,-68.31,39.2,4.7
18,Albany,90,60,42.65,-73.75,75.2,10.29
19,Manzhouli,0,76,49.6,117.43,63.88,4.61
20,Apatou,0,77,5.16,-54.34,79.09,4.38
21,Oxford,40,61,33.61,-85.83,82.4,6.93
22,Nueva Loja,88,98,0.08,-76.88,70.81,2.37
23,Bani,92,100,15.89,120.27,74.32,8.19
24,Camocim,0,59,-2.9,-40.84,80.71,15.79
25,Busselton,44,100,-33.64,115.35,55.06,17.69
26,Cape Town,75,93,-33.93,18.42,42.8,3.36
27,Kyzyl,100,84,51.72,94.43,54.88,2.82
28,Biu,68,81,10.61,12.19,73.96,9.98
29,Port Alfred,68,100,-33.59,26.89,58.66,3.83
30,Mahebourg,40,68,-20.41,57.7,71.6,10.29
31,Tasiilaq,92,87,65.61,-37.64,42.8,3.71
32,Ilulissat,75,70,69.22,-51.1,42.8,5.82
33,Thompson,32,55,55.74,-97.86,67.66,8.41
34,Kavieng,56,100,-2.57,150.8,83.5,6.62
35,Moses Lake,90,12,47.13,-119.28,87.8,6.93
36,Kapaa,40,66,22.08,-159.32,87.8,17.22
37,Sicamous,0,57,50.84,-118.99,62.67,1.59
38,Tecpan,20,68,14.76,-90.99,71.6,13.87
39,Hilo,75,66,19.71,-155.08,84.2,3.36
40,Virginia Beach,90,94,36.85,-75.98,80.6,6.93
41,Butaritari,0,100,3.07,172.79,84.63,5.95
42,Bluff,0,19,-23.58,149.07,66.04,4.5
43,Atuona,0,100,-9.8,-139.03,79.18,3.94
44,Asosa,80,98,10.07,34.53,62.49,2.71
45,Jackville,75,100,5.21,-4.42,73.4,8.05
46,Arraial do Cabo,20,88,-22.97,-42.02,69.8,9.17
